"Name","DisplayName","Status"
"PNRPsvc","Peer Name Resolution Protocol","Stopped"
"PolicyAgent","IPsec Policy Agent","Stopped"
"PrintNotify","Printer Extensions and Notifications","Stopped"
"PrintWorkflowUserSvc_6b15a","PrintWorkflow_6b15a","Stopped"
"PushToInstall","Windows PushToInstall Service","Stopped"
"QWAVE","Quality Windows Audio Video Experience","Stopped"
"RasAuto","Remote Access Auto Connection Manager","Stopped"
"RasMan","Remote Access Connection Manager","Stopped"
"RemoteAccess","Routing and Remote Access","Stopped"
"RemoteRegistry","Remote Registry","Stopped"
"RetailDemo","Retail Demo Service","Stopped"
"RmSvc","Radio Management Service","Stopped"
"RpcLocator","Remote Procedure Call (RPC) Locator","Stopped"
"SCardSvr","Smart Card","Stopped"
"ScDeviceEnum","Smart Card Device Enumeration Service","Stopped"
"SCPolicySvc","Smart Card Removal Policy","Stopped"
"SDRSVC","Windows Backup","Stopped"
"seclogon","Secondary Logon","Stopped"
"SEMgrSvc","Payments and NFC/SE Manager","Stopped"
"Sense","Windows Defender Advanced Threat Protection Service","Stopped"
"SensorDataService","Sensor Data Service","Stopped"
"SensorService","Sensor Service","Stopped"
"SensrSvc","Sensor Monitoring Service","Stopped"
"SessionEnv","Remote Desktop Configuration","Stopped"
"SharedAccess","Internet Connection Sharing (ICS)","Stopped"
"SharedRealitySvc","Spatial Data Service","Stopped"
"shpamsvc","Shared PC Account Manager","Stopped"
"smphost","Microsoft Storage Spaces SMP","Stopped"
"SmsRouter","Microsoft Windows SMS Router Service.","Stopped"
"SNMPTRAP","SNMP Trap","Stopped"
"spectrum","Windows Perception Service","Stopped"
"sppsvc","Software Protection","Stopped"
"ssh-agent","OpenSSH Authentication Agent","Stopped"
"SstpSvc","Secure Socket Tunneling Protocol Service","Stopped"
"stisvc","Windows Image Acquisition (WIA)","Stopped"
"svsvc","Spot Verifier","Stopped"
"swprv","Microsoft Software Shadow Copy Provider","Stopped"
"TapiSrv","Telephony","Stopped"
"TermService","Remote Desktop Services","Stopped"
"TieringEngineService","Storage Tiers Management","Stopped"
"TrkWks","Distributed Link Tracking Client","Stopped"
"TrustedInstaller","Windows Modules Installer","Stopped"
"tzautoupdate","Auto Time Zone Updater","Stopped"
"UevAgentService","User Experience Virtualization Service","Stopped"
"UmRdpService","Remote Desktop Services UserMode Port Redirector","Stopped"
"UnistoreSvc_6b15a","User Data Storage_6b15a","Stopped"
"upnphost","UPnP Device Host","Stopped"
"UserDataSvc_6b15a","User Data Access_6b15a","Stopped"
"VacSvc","Volumetric Audio Compositor Service","Stopped"
"vds","Virtual Disk","Stopped"
"vmicguestinterface","Hyper-V Guest Service Interface","Stopped"
"vmicheartbeat","Hyper-V Heartbeat Service","Stopped"
"vmickvpexchange","Hyper-V Data Exchange Service","Stopped"
"vmicrdv","Hyper-V Remote Desktop Virtualization Service","Stopped"
"vmicshutdown","Hyper-V Guest Shutdown Service","Stopped"
"vmictimesync","Hyper-V Time Synchronization Service","Stopped"
"vmicvmsession","Hyper-V PowerShell Direct Service","Stopped"
"vmicvss","Hyper-V Volume Shadow Copy Requestor","Stopped"
"vmvss","VMware Snapshot Provider","Stopped"
"VSS","Volume Shadow Copy","Stopped"
"W32Time","Windows Time","Stopped"
"WaaSMedicSvc","Windows Update Medic Service","Stopped"
"WalletService","WalletService","Stopped"
"WarpJITSvc","WarpJITSvc","Stopped"
"wbengine","Block Level Backup Engine Service","Stopped"
"WbioSrvc","Windows Biometric Service","Stopped"
"wcncsvc","Windows Connect Now - Config Registrar","Stopped"
"WdiServiceHost","Diagnostic Service Host","Stopped"
"WdiSystemHost","Diagnostic System Host","Stopped"
"WebClient","WebClient","Stopped"
"Wecsvc","Windows Event Collector","Stopped"
"WEPHOSTSVC","Windows Encryption Provider Host Service","Stopped"
"wercplsupport","Problem Reports and Solutions Control Panel Support","Stopped"
"WerSvc","Windows Error Reporting Service","Stopped"
"WFDSConMgrSvc","Wi-Fi Direct Services Connection Manager Service","Stopped"
"WiaRpc","Still Image Acquisition Events","Stopped"
"WinRM","Windows Remote Management (WS-Management)","Stopped"
"wisvc","Windows Insider Service","Stopped"
"WlanSvc","WLAN AutoConfig","Stopped"
"wlidsvc","Microsoft Account Sign-in Assistant","Stopped"
"wlpasvc","Local Profile Assistant Service","Stopped"
"WManSvc","Windows Management Service","Stopped"
"wmiApSrv","WMI Performance Adapter","Stopped"
"WMPNetworkSvc","Windows Media Player Network Sharing Service","Stopped"
"workfolderssvc","Work Folders","Stopped"
"WpcMonSvc","Parental Controls","Stopped"
"WPDBusEnum","Portable Device Enumerator Service","Stopped"
"WSearch","Windows Search","Stopped"
"wuauserv","Windows Update","Stopped"
"WwanSvc","WWAN AutoConfig","Stopped"
"XblAuthManager","Xbox Live Auth Manager","Stopped"
"XblGameSave","Xbox Live Game Save","Stopped"
"XboxGipSvc","Xbox Accessory Management Service","Stopped"
"XboxNetApiSvc","Xbox Live Networking Service","Stopped"
